"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2007 - 2008","Northern Ireland","17 and under","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","England","18","Northern Ireland","Female","Not main scheme application","115"
"2006 - 2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","230"
"2006 - 2007","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2006 - 2007","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","England","18","Northern Ireland","Female","Not main scheme application","110"
"2007 - 2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","265"
"2007 - 2008","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2008 - 2009","England","18","Northern Ireland","Female","Not main scheme application","105"
"2008 - 2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","260"
"2008 - 2009","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2008 - 2009","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","England","18","Northern Ireland","Female","Not main scheme application","105"
"2009 - 2010","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","285"
"2009 - 2010","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2009 - 2010","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2010 - 2011","England","18","Northern Ireland","Female","Not main scheme application","160"
"2010 - 2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","165"
"2010 - 2011","Scotland","18","Northern Ireland","Female","Not main scheme application","25"
"2010 - 2011","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","England","18","Northern Ireland","Female","Not main scheme application","190"
"2011 - 2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","165"
"2011 - 2012","Scotland","18","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","Wales","18","Northern Ireland","Female","Not main scheme application","30"
"2012 - 2013","England","18","Northern Ireland","Female","Not main scheme application","185"
"2012 - 2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","200"
"2012 - 2013","Scotland","18","Northern Ireland","Female","Not main scheme application","60"
"2012 - 2013","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","England","18","Northern Ireland","Female","Not main scheme application","140"
"2013 - 2014","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","225"
"2013 - 2014","Scotland","18","Northern Ireland","Female","Not main scheme application","40"
"2013 - 2014","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","England","18","Northern Ireland","Female","Not main scheme application","135"
"2014 - 2015","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","205"
"2014 - 2015","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2014 - 2015","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","England","18","Northern Ireland","Female","Not main scheme application","185"
"2015 - 2016","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","150"
"2015 - 2016","Scotland","18","Northern Ireland","Female","Not main scheme application","65"
"2015 - 2016","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","England","18","Northern Ireland","Female","Not main scheme application","195"
"2016 - 2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","215"
"2016 - 2017","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2016 - 2017","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","England","18","Northern Ireland","Female","Not main scheme application","170"
"2017 - 2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","280"
"2017 - 2018","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2017 - 2018","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2018 - 2019","England","18","Northern Ireland","Female","Not main scheme application","135"
"2018 - 2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","310"
"2018 - 2019","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2018 - 2019","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","England","18","Northern Ireland","Female","Not main scheme application","135"
"2019 - 2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","315"
"2019 - 2020","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2019 - 2020","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","England","18","Northern Ireland","Female","Not main scheme application","125"
"2020 - 2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","375"
"2020 - 2021","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2020 - 2021","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","England","18","Northern Ireland","Female","Not main scheme application","135"
"2021 - 2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","410"
"2021 - 2022","Scotland","18","Northern Ireland","Female","Not main scheme application","30"
"2021 - 2022","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2022 - 2023","England","18","Northern Ireland","Female","Not main scheme application","135"
"2022 - 2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","460"
"2022 - 2023","Scotland","18","Northern Ireland","Female","Not main scheme application","20"
"2022 - 2023","Wales","18","Northern Ireland","Female","Not main scheme application","25"
"2023 - 2024","England","18","Northern Ireland","Female","Not main scheme application","110"
"2023 - 2024","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","440"
"2023 - 2024","Scotland","18","Northern Ireland","Female","Not main scheme application","20"
"2023 - 2024","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2006 - 2007","England","19","Northern Ireland","Female","Not main scheme application","30"
"2006 - 2007","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","80"
"2006 - 2007","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","England","19","Northern Ireland","Female","Not main scheme application","40"
"2007 - 2008","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","75"
"2007 - 2008","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2008 - 2009","England","19","Northern Ireland","Female","Not main scheme application","35"
"2008 - 2009","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","85"
"2008 - 2009","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2009 - 2010","England","19","Northern Ireland","Female","Not main scheme application","40"
"2009 - 2010","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","70"
"2009 - 2010","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","England","19","Northern Ireland","Female","Not main scheme application","50"
"2010 - 2011","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","35"
"2010 - 2011","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","England","19","Northern Ireland","Female","Not main scheme application","55"
"2011 - 2012","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","35"
"2011 - 2012","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Wales","19","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","England","19","Northern Ireland","Female","Not main scheme application","50"
"2012 - 2013","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","45"
