"Year","Achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","6 points (DDM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2020","10 points (D*D*D*)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2011","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","7 points (DDD)","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","10 points (D*D*D*)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 point (PPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points (MPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2021","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","7 points (DDD)","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2010","1 point (PPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","1 point (PPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points (MMP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","4 points (MMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","5 points (DMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","7 points (DDD)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","9 points (D*D*D)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 5","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","1 point (PPP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points (MPP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points (MMP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","Quintile 5","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","4 points (MMM)","Unknown","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2011","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2012","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2013","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2014","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2015","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2016","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2017","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2019","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2022","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.684","0"
"2023","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2010","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","10","0.444","0"
"2011","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2012","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2013","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2014","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2015","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2016","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2017","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2019","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2020","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2021","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2022","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2023","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.914","0"
"2010","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.767","0"
"2011","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","15","0.552","0"
"2012","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2013","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2014","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2015","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2016","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2017","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2018","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","1","0"
"2019","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2021","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2022","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2023","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2010","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2011","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8","0"
"2012","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.795","0"
"2013","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2014","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2015","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.895","0"
"2016","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.906","0"
"2017","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2018","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2019","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2020","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.967","0"
"2021","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.8290000000000001","0"
"2022","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.841","0"
"2023","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","40","0.9510000000000001","0"
"2010","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2011","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","50","40","0.731","0"
"2012","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.786","0"
"2013","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","55","40","0.759","0"
"2014","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","45","30","0.727","0"
"2015","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.8180000000000001","0"
"2016","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2017","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2018","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2019","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2020","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2021","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2022","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","55","45","0.868","0"
"2023","5 points (DMM)","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.837","0"
"2010","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.771","0"
"2011","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.766","0"
"2012","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.758","0"
"2013","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.778","0"
"2014","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.633","0"
"2015","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","45","30","0.744","0"
"2016","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.762","0"
"2017","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2018","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2019","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2020","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2021","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","55","50","0.962","0"
"2022","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","50","45","0.922","0"
"2023","6 points (DDM)","Quintile 1","Main scheme applicant","Not main scheme application","55","50","0.842","0"
"2010","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","75","50","0.712","0"
"2011","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","165","115","0.6990000000000001","0"
"2012","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.7000000000000001","0"
"2013","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.8290000000000001","0"
"2014","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","55","40","0.745","0"
"2015","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","60","45","0.729","0"
"2016","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","45","30","0.711","0"
"2017","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.861","0"
"2018","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.8130000000000001","0"
"2019","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.963","0"
"2020","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2021","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2022","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","35","35","0.892","0"
"2023","7 points (DDD)","Quintile 1","Main scheme applicant","Not main scheme application","35","35","0.9460000000000001","0"
"2012","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.733","0"
"2013","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2014","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.679","0"
"2015","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2016","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.75","0"
"2017","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2018","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.897","0"
"2019","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2020","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2021","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.935","0"
"2022","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.886","0"
"2023","8 points (D*DD)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.906","0"
"2012","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.667","0"
"2013","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2014","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2015","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2016","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8","0"
"2017","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.865","0"
"2018","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.911","0"
"2019","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.929","0"
"2020","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.914","0"
"2021","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.778","0"
"2022","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8210000000000001","0"
"2023","9 points (D*D*D)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2012","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","50","35","0.72","0"
"2013","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","60","50","0.79","0"
"2014","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","80","55","0.713","0"
"2015","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","115","90","0.765","0"
"2016","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","90","70","0.75","0"
"2017","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","95","75","0.8170000000000001","0"
"2018","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","65","60","0.866","0"
"2019","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","60","50","0.879","0"
"2020","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","60","50","0.836","0"
"2021","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","75","65","0.905","0"
"2022","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.838","0"
"2023","10 points (D*D*D*)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2010","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2011","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","10","0.632","0"
"2012","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","10","0.526","0"
"2013","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.714","0"
"2014","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2015","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2016","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2017","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2018","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2019","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","20","1","0"
"2021","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","25","25","1","0"
"2022","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.625","0"
"2023","1 point (PPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2010","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.621","0"
"2011","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","10","0.526","0"
"2012","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.778","0"
"2013","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","25","15","0.652","0"
"2014","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.838","0"
"2015","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2016","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.76","0"
"2017","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2018","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2019","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2021","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2022","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2023","2 points (MPP)","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2010","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.8250000000000001","0"
"2011","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","45","30","0.711","0"
"2012","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2013","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","35","25","0.758","0"
"2014","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.789","0"
"2015","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.871","0"
"2016","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","35","25","0.75","0"
"2017","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.737","0"
"2018","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","20","20","1","0"
"2019","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","25","25","1","0"
"2020","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2021","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2022","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2023","3 points (MMP)","Quintile 2","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2010","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2011","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.7020000000000001","0"
"2012","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.792","0"
"2013","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.786","0"
"2014","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2015","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.791","0"
"2016","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2017","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2018","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2019","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2020","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","35","35","0.9440000000000001","0"
"2021","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2022","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2023","4 points (MMM)","Quintile 2","Main scheme applicant","Not main scheme application","55","50","0.925","0"
"2010","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.756","0"
"2011","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","55","45","0.8150000000000001","0"
"2012","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","50","35","0.654","0"
"2013","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","55","45","0.8210000000000001","0"
"2014","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.75","0"
"2015","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.857","0"
"2016","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","45","40","0.867","0"
"2017","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.935","0"
"2018","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2019","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.8210000000000001","0"
"2020","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2021","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","45","40","0.872","0"
"2022","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.765","0"
"2023","5 points (DMM)","Quintile 2","Main scheme applicant","Not main scheme application","60","50","0.897","0"
"2010","6 points (DDM)","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.633","0"
"2011","6 points (DDM)","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2012","6 points (DDM)","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.756","0"
"2013","6 points (DDM)","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.731","0"
"2014","6 points (DDM)","Quintile 2","Main scheme applicant","Not main scheme application","60","40","0.724","0"
