"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","20 point(s)","Quintile 5","All","Main scheme application","25","20","0.8","0"
"2021","20 point(s)","Quintile 5","All","Main scheme application","30","20","0.759","0"
"2022","20 point(s)","Quintile 5","All","Main scheme application","15","10","0.706","0"
"2023","20 point(s)","Quintile 5","All","Main scheme application","25","15","0.609","0"
"2010","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 1","All","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2017","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2018","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 1","All","Not main scheme application","10","10"," ","0"
"2022","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2012","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2013","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 2","All","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2018","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 2","All","Not main scheme application","10","10"," ","0"
"2021","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2023","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2010","All","Quintile 3","All","Not main scheme application","15","10","0.857","0"
"2011","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 3","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 3","All","Not main scheme application","5","0"," ","0"
"2014","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 3","All","Not main scheme application","15","5"," ","0"
"2016","All","Quintile 3","All","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 3","All","Not main scheme application","10","5"," ","0"
"2018","All","Quintile 3","All","Not main scheme application","10","5"," ","0"
"2020","All","Quintile 3","All","Not main scheme application","10","10","1","0"
"2021","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2010","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2011","All","Quintile 4","All","Not main scheme application","10","10","0.909","0"
"2012","All","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2014","All","Quintile 4","All","Not main scheme application","15","10"," ","0"
"2015","All","Quintile 4","All","Not main scheme application","15","10"," ","0"
"2016","All","Quintile 4","All","Not main scheme application","15","10","0.714","0"
"2017","All","Quintile 4","All","Not main scheme application","15","10","0.706","0"
"2018","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2019","All","Quintile 4","All","Not main scheme application","15","10","0.733","0"
"2020","All","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2021","All","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2010","All","Quintile 5","All","Not main scheme application","25","20","0.9570000000000001","0"
"2011","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2012","All","Quintile 5","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 5","All","Not main scheme application","10","10"," ","0"
"2014","All","Quintile 5","All","Not main scheme application","25","15","0.652","0"
"2015","All","Quintile 5","All","Not main scheme application","25","15","0.739","0"
"2016","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 5","All","Not main scheme application","15","10","0.8","0"
"2018","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2019","All","Quintile 5","All","Not main scheme application","15","10"," ","0"
"2020","All","Quintile 5","All","Not main scheme application","15","10","0.923","0"
"2021","All","Quintile 5","All","Not main scheme application","10","5"," ","0"
"2022","All","Quintile 5","All","Not main scheme application","10","5"," ","0"
"2023","All","Quintile 5","All","Not main scheme application","15","10","0.706","0"
"2015","All","Unknown","All","Main scheme application","5","0"," ","0"
"2010","All","Quintile 1","All","Main scheme application","30","15","0.586","0"
"2011","All","Quintile 1","All","Main scheme application","20","10","0.556","0"
"2012","All","Quintile 1","All","Main scheme application","20","10"," ","0"
"2013","All","Quintile 1","All","Main scheme application","25","15","0.654","0"
"2014","All","Quintile 1","All","Main scheme application","45","15","0.372","0"
"2015","All","Quintile 1","All","Main scheme application","55","25","0.5","0"
"2016","All","Quintile 1","All","Main scheme application","35","15","0.486","0"
"2017","All","Quintile 1","All","Main scheme application","35","15","0.5","0"
"2018","All","Quintile 1","All","Main scheme application","35","20","0.618","0"
"2019","All","Quintile 1","All","Main scheme application","40","20","0.55","0"
"2020","All","Quintile 1","All","Main scheme application","45","30","0.682","0"
"2021","All","Quintile 1","All","Main scheme application","40","30","0.7000000000000001","0"
"2022","All","Quintile 1","All","Main scheme application","30","15","0.464","0"
"2023","All","Quintile 1","All","Main scheme application","40","30","0.7000000000000001","0"
"2010","All","Quintile 2","All","Main scheme application","40","25","0.641","0"
"2011","All","Quintile 2","All","Main scheme application","50","25","0.531","0"
"2012","All","Quintile 2","All","Main scheme application","60","25","0.441","0"
"2013","All","Quintile 2","All","Main scheme application","60","35","0.586","0"
"2014","All","Quintile 2","All","Main scheme application","85","30","0.386","0"
"2015","All","Quintile 2","All","Main scheme application","65","25","0.40900000000000003","0"
"2016","All","Quintile 2","All","Main scheme application","75","40","0.562","0"
"2017","All","Quintile 2","All","Main scheme application","50","30","0.604","0"
"2018","All","Quintile 2","All","Main scheme application","60","35","0.607","0"
"2019","All","Quintile 2","All","Main scheme application","60","35","0.5740000000000001","0"
"2020","All","Quintile 2","All","Main scheme application","85","60","0.726","0"
"2021","All","Quintile 2","All","Main scheme application","70","50","0.754","0"
"2022","All","Quintile 2","All","Main scheme application","50","35","0.714","0"
"2023","All","Quintile 2","All","Main scheme application","55","40","0.667","0"
"2010","All","Quintile 3","All","Main scheme application","75","35","0.442","0"
"2011","All","Quintile 3","All","Main scheme application","75","35","0.47900000000000004","0"
"2012","All","Quintile 3","All","Main scheme application","100","45","0.434","0"
"2013","All","Quintile 3","All","Main scheme application","75","45","0.5660000000000001","0"
"2014","All","Quintile 3","All","Main scheme application","90","45","0.5","0"
"2015","All","Quintile 3","All","Main scheme application","95","45","0.47900000000000004","0"
"2016","All","Quintile 3","All","Main scheme application","90","35","0.371","0"
"2017","All","Quintile 3","All","Main scheme application","75","45","0.5660000000000001","0"
"2018","All","Quintile 3","All","Main scheme application","95","55","0.606","0"
"2019","All","Quintile 3","All","Main scheme application","50","25","0.551","0"
"2020","All","Quintile 3","All","Main scheme application","85","55","0.639","0"
"2021","All","Quintile 3","All","Main scheme application","85","60","0.735","0"
"2022","All","Quintile 3","All","Main scheme application","70","50","0.725","0"
"2023","All","Quintile 3","All","Main scheme application","65","45","0.6980000000000001","0"
"2010","All","Quintile 4","All","Main scheme application","95","50","0.559","0"
"2011","All","Quintile 4","All","Main scheme application","95","40","0.447","0"
"2012","All","Quintile 4","All","Main scheme application","120","55","0.449","0"
"2013","All","Quintile 4","All","Main scheme application","105","45","0.456","0"
"2014","All","Quintile 4","All","Main scheme application","110","50","0.468","0"
"2015","All","Quintile 4","All","Main scheme application","130","50","0.395","0"
"2016","All","Quintile 4","All","Main scheme application","90","50","0.527","0"
"2017","All","Quintile 4","All","Main scheme application","110","60","0.545","0"
"2018","All","Quintile 4","All","Main scheme application","100","65","0.627","0"
"2019","All","Quintile 4","All","Main scheme application","100","50","0.531","0"
"2020","All","Quintile 4","All","Main scheme application","85","50","0.614","0"
"2021","All","Quintile 4","All","Main scheme application","85","60","0.6990000000000001","0"
"2022","All","Quintile 4","All","Main scheme application","65","40","0.635","0"
"2023","All","Quintile 4","All","Main scheme application","80","50","0.61","0"
"2010","All","Quintile 5","All","Main scheme application","120","60","0.496","0"
"2011","All","Quintile 5","All","Main scheme application","110","55","0.505","0"
"2012","All","Quintile 5","All","Main scheme application","170","85","0.488","0"
"2013","All","Quintile 5","All","Main scheme application","135","70","0.504","0"
"2014","All","Quintile 5","All","Main scheme application","155","80","0.526","0"
"2015","All","Quintile 5","All","Main scheme application","160","70","0.438","0"
"2016","All","Quintile 5","All","Main scheme application","135","80","0.593","0"
"2017","All","Quintile 5","All","Main scheme application","125","65","0.528","0"
"2018","All","Quintile 5","All","Main scheme application","130","75","0.578","0"
"2019","All","Quintile 5","All","Main scheme application","115","70","0.595","0"
"2020","All","Quintile 5","All","Main scheme application","100","70","0.6900000000000001","0"
"2021","All","Quintile 5","All","Main scheme application","125","90","0.736","0"
"2022","All","Quintile 5","All","Main scheme application","80","40","0.525","0"
"2023","All","Quintile 5","All","Main scheme application","105","55","0.514","0"
"2010","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2011","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2012","13 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2014","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","14 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2011","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2013","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","14 point(s)","All","All","Not main scheme application","20","15","0.65","0"
"2016","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","14 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2021","14 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","14 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","15 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2012","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2013","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","15 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2016","15 point(s)","All","All","Not main scheme application","10","0"," ","0"
"2017","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2019","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","15 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2011","16 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2012","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","16 point(s)","All","All","Not main scheme application","15","5"," ","0"
"2016","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","16 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2019","16 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2020","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","16 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2022","16 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","16 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","17 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","17 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","17 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","18 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2018","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","18 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","18 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2015","19 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2016","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","19 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","20 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","20 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","20 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2023","20 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","9 point(s)","All","All","Main scheme application","5","5"," ","0"
"2012","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2013","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2014","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2022","9 point(s)","All","All","Main scheme application","5","0"," ","0"
"2010","10 point(s)","All","All","Main scheme application","20","10"," ","0"
"2011","10 point(s)","All","All","Main scheme application","20","5"," ","0"
"2012","10 point(s)","All","All","Main scheme application","20","0"," ","0"
"2013","10 point(s)","All","All","Main scheme application","10","5"," ","0"
"2014","10 point(s)","All","All","Main scheme application","15","5"," ","0"
"2015","10 point(s)","All","All","Main scheme application","10","0"," ","0"
"2016","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2017","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2018","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2019","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2020","10 point(s)","All","All","Main scheme application","5","5"," ","0"
"2022","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2023","10 point(s)","All","All","Main scheme application","5","0"," ","0"
"2010","11 point(s)","All","All","Main scheme application","25","15","0.577","0"
"2011","11 point(s)","All","All","Main scheme application","20","10"," ","0"
"2012","11 point(s)","All","All","Main scheme application","35","10","0.364","0"
"2013","11 point(s)","All","All","Main scheme application","25","10"," ","0"
"2014","11 point(s)","All","All","Main scheme application","25","5"," ","0"
"2015","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2016","11 point(s)","All","All","Main scheme application","20","5"," ","0"
"2017","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2018","11 point(s)","All","All","Main scheme application","15","5"," ","0"
"2019","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2020","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2021","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2022","11 point(s)","All","All","Main scheme application","5","0"," ","0"
"2023","11 point(s)","All","All","Main scheme application","10","5"," ","0"
"2010","12 point(s)","All","All","Main scheme application","60","20","0.356","0"
"2011","12 point(s)","All","All","Main scheme application","35","10","0.324","0"
"2012","12 point(s)","All","All","Main scheme application","40","10","0.28200000000000003","0"
"2013","12 point(s)","All","All","Main scheme application","35","10","0.306","0"
"2014","12 point(s)","All","All","Main scheme application","40","10","0.262","0"
"2015","12 point(s)","All","All","Main scheme application","40","10"," ","0"
"2016","12 point(s)","All","All","Main scheme application","25","5"," ","0"
"2017","12 point(s)","All","All","Main scheme application","20","5"," ","0"
"2018","12 point(s)","All","All","Main scheme application","15","5"," ","0"
"2019","12 point(s)","All","All","Main scheme application","15","0"," ","0"
"2020","12 point(s)","All","All","Main scheme application","20","10"," ","0"
"2021","12 point(s)","All","All","Main scheme application","10","5"," ","0"
"2022","12 point(s)","All","All","Main scheme application","15","5"," ","0"
"2023","12 point(s)","All","All","Main scheme application","25","10"," ","0"
"2010","13 point(s)","All","All","Main scheme application","45","20","0.426","0"
"2011","13 point(s)","All","All","Main scheme application","50","20","0.44","0"
"2012","13 point(s)","All","All","Main scheme application","65","20","0.34900000000000003","0"
"2013","13 point(s)","All","All","Main scheme application","50","20","0.373","0"
"2014","13 point(s)","All","All","Main scheme application","55","15","0.321","0"
"2015","13 point(s)","All","All","Main scheme application","45","10"," ","0"
"2016","13 point(s)","All","All","Main scheme application","35","20","0.486","0"
"2017","13 point(s)","All","All","Main scheme application","15","10"," ","0"
"2018","13 point(s)","All","All","Main scheme application","30","10","0.333","0"
"2019","13 point(s)","All","All","Main scheme application","25","5"," ","0"
"2020","13 point(s)","All","All","Main scheme application","25","15","0.52","0"
"2021","13 point(s)","All","All","Main scheme application","30","20","0.655","0"
"2022","13 point(s)","All","All","Main scheme application","10","5"," ","0"
"2023","13 point(s)","All","All","Main scheme application","20","15","0.591","0"
"2010","14 point(s)","All","All","Main scheme application","50","25","0.51","0"
"2011","14 point(s)","All","All","Main scheme application","50","20","0.449","0"
"2012","14 point(s)","All","All","Main scheme application","60","20","0.323","0"
"2013","14 point(s)","All","All","Main scheme application","60","25","0.39","0"
"2014","14 point(s)","All","All","Main scheme application","70","30","0.417","0"
"2015","14 point(s)","All","All","Main scheme application","80","25","0.316","0"
"2016","14 point(s)","All","All","Main scheme application","50","20","0.449","0"
"2017","14 point(s)","All","All","Main scheme application","55","25","0.491","0"
"2018","14 point(s)","All","All","Main scheme application","45","25","0.511","0"
"2019","14 point(s)","All","All","Main scheme application","30","15","0.406","0"
"2020","14 point(s)","All","All","Main scheme application","40","25","0.659","0"
"2021","14 point(s)","All","All","Main scheme application","35","20","0.636","0"
"2022","14 point(s)","All","All","Main scheme application","20","15","0.591","0"
"2023","14 point(s)","All","All","Main scheme application","35","20","0.559","0"
"2010","15 point(s)","All","All","Main scheme application","60","30","0.542","0"
"2011","15 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2012","15 point(s)","All","All","Main scheme application","80","35","0.456","0"
"2013","15 point(s)","All","All","Main scheme application","70","40","0.551","0"
"2014","15 point(s)","All","All","Main scheme application","80","35","0.449","0"
"2015","15 point(s)","All","All","Main scheme application","90","45","0.5","0"
"2016","15 point(s)","All","All","Main scheme application","50","30","0.549","0"
"2017","15 point(s)","All","All","Main scheme application","60","30","0.483","0"
"2018","15 point(s)","All","All","Main scheme application","65","40","0.591","0"
"2019","15 point(s)","All","All","Main scheme application","55","30","0.5660000000000001","0"
"2020","15 point(s)","All","All","Main scheme application","40","25","0.632","0"
"2021","15 point(s)","All","All","Main scheme application","45","30","0.674","0"
"2022","15 point(s)","All","All","Main scheme application","30","15","0.607","0"
"2023","15 point(s)","All","All","Main scheme application","45","30","0.622","0"
"2010","16 point(s)","All","All","Main scheme application","35","25","0.714","0"
"2011","16 point(s)","All","All","Main scheme application","40","20","0.524","0"
"2012","16 point(s)","All","All","Main scheme application","50","30","0.625","0"
"2013","16 point(s)","All","All","Main scheme application","45","30","0.652","0"
"2014","16 point(s)","All","All","Main scheme application","60","35","0.586","0"
"2015","16 point(s)","All","All","Main scheme application","65","20","0.302","0"
"2016","16 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2017","16 point(s)","All","All","Main scheme application","65","35","0.5690000000000001","0"
"2018","16 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2019","16 point(s)","All","All","Main scheme application","55","35","0.655","0"
"2020","16 point(s)","All","All","Main scheme application","60","40","0.707","0"
"2021","16 point(s)","All","All","Main scheme application","40","25","0.634","0"
"2022","16 point(s)","All","All","Main scheme application","40","30","0.769","0"
"2023","16 point(s)","All","All","Main scheme application","45","25","0.5650000000000001","0"
"2010","17 point(s)","All","All","Main scheme application","25","15","0.667","0"
"2011","17 point(s)","All","All","Main scheme application","25","20","0.6920000000000001","0"
"2012","17 point(s)","All","All","Main scheme application","40","30","0.6900000000000001","0"
"2013","17 point(s)","All","All","Main scheme application","35","30","0.784","0"
"2014","17 point(s)","All","All","Main scheme application","50","30","0.5690000000000001","0"
"2015","17 point(s)","All","All","Main scheme application","60","35","0.593","0"
"2016","17 point(s)","All","All","Main scheme application","65","35","0.531","0"
"2017","17 point(s)","All","All","Main scheme application","45","30","0.596","0"
"2018","17 point(s)","All","All","Main scheme application","55","40","0.759","0"
"2019","17 point(s)","All","All","Main scheme application","40","25","0.548","0"
"2020","17 point(s)","All","All","Main scheme application","55","35","0.614","0"
"2021","17 point(s)","All","All","Main scheme application","60","50","0.8140000000000001","0"
"2022","17 point(s)","All","All","Main scheme application","35","15","0.441","0"
"2023","17 point(s)","All","All","Main scheme application","35","25","0.722","0"
"2010","18 point(s)","All","All","Main scheme application","15","10","0.714","0"
"2011","18 point(s)","All","All","Main scheme application","25","20","0.783","0"
"2012","18 point(s)","All","All","Main scheme application","25","15","0.654","0"
"2013","18 point(s)","All","All","Main scheme application","20","15","0.636","0"
"2014","18 point(s)","All","All","Main scheme application","40","25","0.65","0"
"2015","18 point(s)","All","All","Main scheme application","45","35","0.7020000000000001","0"
"2016","18 point(s)","All","All","Main scheme application","40","20","0.463","0"
"2017","18 point(s)","All","All","Main scheme application","35","20","0.556","0"
"2018","18 point(s)","All","All","Main scheme application","50","35","0.686","0"
"2019","18 point(s)","All","All","Main scheme application","45","30","0.638","0"
"2020","18 point(s)","All","All","Main scheme application","55","45","0.87","0"
"2021","18 point(s)","All","All","Main scheme application","50","40","0.804","0"
"2022","18 point(s)","All","All","Main scheme application","30","20","0.613","0"
"2023","18 point(s)","All","All","Main scheme application","40","25","0.625","0"
"2010","19 point(s)","All","All","Main scheme application","10","5"," ","0"
"2011","19 point(s)","All","All","Main scheme application","10","5"," ","0"
"2012","19 point(s)","All","All","Main scheme application","35","20","0.667","0"
"2013","19 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2014","19 point(s)","All","All","Main scheme application","25","20","0.88","0"
"2015","19 point(s)","All","All","Main scheme application","35","20","0.5760000000000001","0"
"2016","19 point(s)","All","All","Main scheme application","40","25","0.658","0"
"2017","19 point(s)","All","All","Main scheme application","50","35","0.771","0"
"2018","19 point(s)","All","All","Main scheme application","30","25","0.781","0"
"2019","19 point(s)","All","All","Main scheme application","35","30","0.778","0"
"2020","19 point(s)","All","All","Main scheme application","35","25","0.7030000000000001","0"
"2021","19 point(s)","All","All","Main scheme application","50","45","0.86","0"
"2022","19 point(s)","All","All","Main scheme application","30","20","0.667","0"
"2023","19 point(s)","All","All","Main scheme application","35","25","0.676","0"
"2010","20 point(s)","All","All","Main scheme application","10","5"," ","0"
"2011","20 point(s)","All","All","Main scheme application","10","5"," ","0"
"2012","20 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2013","20 point(s)","All","All","Main scheme application","20","15","0.833","0"
"2014","20 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2015","20 point(s)","All","All","Main scheme application","30","20","0.6880000000000001","0"
"2016","20 point(s)","All","All","Main scheme application","40","30","0.769","0"
"2017","20 point(s)","All","All","Main scheme application","35","25","0.657","0"
"2018","20 point(s)","All","All","Main scheme application","45","35","0.8220000000000001","0"
"2019","20 point(s)","All","All","Main scheme application","40","30","0.762","0"
"2020","20 point(s)","All","All","Main scheme application","45","35","0.767","0"
"2021","20 point(s)","All","All","Main scheme application","65","50","0.761","0"
"2022","20 point(s)","All","All","Main scheme application","60","50","0.833","0"
"2023","20 point(s)","All","All","Main scheme application","50","40","0.745","0"
"2010","All","All","All","Not main scheme application","50","45","0.882","0"
"2011","All","All","All","Not main scheme application","30","25","0.767","0"
"2012","All","All","All","Not main scheme application","45","30","0.727","0"
"2013","All","All","All","Not main scheme application","30","20","0.677","0"
"2014","All","All","All","Not main scheme application","55","40","0.684","0"
"2015","All","All","All","Not main scheme application","75","45","0.603","0"
"2016","All","All","All","Not main scheme application","50","30","0.549","0"
"2017","All","All","All","Not main scheme application","45","35","0.761","0"
"2018","All","All","All","Not main scheme application","40","20","0.538","0"
"2019","All","All","All","Not main scheme application","45","30","0.674","0"
"2020","All","All","All","Not main scheme application","50","45","0.9","0"
"2021","All","All","All","Not main scheme application","25","20","0.731","0"
"2022","All","All","All","Not main scheme application","30","20","0.621","0"
"2023","All","All","All","Not main scheme application","35","25","0.743","0"
"2010","All","All","All","Main scheme application","360","190","0.524","0"
"2011","All","All","All","Main scheme application","345","170","0.49","0"
"2012","All","All","All","Main scheme application","470","215","0.455","0"
"2013","All","All","All","Main scheme application","400","210","0.525","0"
"2014","All","All","All","Main scheme application","480","225","0.47000000000000003","0"
"2015","All","All","All","Main scheme application","510","220","0.437","0"
"2016","All","All","All","Main scheme application","425","220","0.517","0"
"2017","All","All","All","Main scheme application","395","215","0.547","0"
"2018","All","All","All","Main scheme application","420","255","0.604","0"
"2019","All","All","All","Main scheme application","365","205","0.56","0"
"2020","All","All","All","Main scheme application","395","265","0.668","0"
"2021","All","All","All","Main scheme application","400","290","0.728","0"
"2022","All","All","All","Main scheme application","290","180","0.623","0"
"2023","All","All","All","Main scheme application","350","215","0.616","0"
"2012","10 point(s)","Quintile 1","Main scheme applicant","All","5","0"," ","0"
"2010","11 point(s)","Quintile 1","Main scheme applicant","All","5","5"," ","0"
