"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","RPA","19","England","Female","Not main scheme applicant","All","5"
"2022","RPA","19","England","Female","Not main scheme applicant","All","5"
"2023","RPA","19","England","Female","Not main scheme applicant","All","10"
"2019","Direct Clearing","20","England","Female","Not main scheme applicant","All","5"
"2020","Direct Clearing","20","England","Female","Not main scheme applicant","All","5"
"2022","Direct Clearing","20","England","Female","Not main scheme applicant","All","5"
"2023","Direct Clearing","20","England","Female","Not main scheme applicant","All","15"
"2019","RPA","20","England","Female","Not main scheme applicant","All","5"
"2022","RPA","20","England","Female","Not main scheme applicant","All","5"
"2023","RPA","20","England","Female","Not main scheme applicant","All","10"
"2019","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","All","15"
"2020","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","All","15"
"2021","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","All","10"
"2022","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","All","10"
"2023","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","All","30"
"2019","RPA","21 - 24","England","Female","Not main scheme applicant","All","15"
"2020","RPA","21 - 24","England","Female","Not main scheme applicant","All","10"
"2021","RPA","21 - 24","England","Female","Not main scheme applicant","All","5"
"2022","RPA","21 - 24","England","Female","Not main scheme applicant","All","5"
"2023","RPA","21 - 24","England","Female","Not main scheme applicant","All","15"
"2019","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","All","10"
"2020","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","All","15"
"2021","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","All","10"
"2022","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","All","10"
"2023","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","All","30"
"2019","RPA","25 - 29","England","Female","Not main scheme applicant","All","10"
"2020","RPA","25 - 29","England","Female","Not main scheme applicant","All","5"
"2021","RPA","25 - 29","England","Female","Not main scheme applicant","All","5"
"2022","RPA","25 - 29","England","Female","Not main scheme applicant","All","5"
"2023","RPA","25 - 29","England","Female","Not main scheme applicant","All","15"
"2019","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","All","10"
"2020","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","All","15"
"2021","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","All","5"
"2022","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","All","10"
"2023","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","All","15"
"2019","RPA","30 - 34","England","Female","Not main scheme applicant","All","10"
"2022","RPA","30 - 34","England","Female","Not main scheme applicant","All","10"
"2023","RPA","30 - 34","England","Female","Not main scheme applicant","All","15"
"2019","Direct Clearing","35 and over","England","Female","Not main scheme applicant","All","5"
"2020","Direct Clearing","35 and over","England","Female","Not main scheme applicant","All","20"
"2021","Direct Clearing","35 and over","England","Female","Not main scheme applicant","All","5"
"2022","Direct Clearing","35 and over","England","Female","Not main scheme applicant","All","10"
"2023","Direct Clearing","35 and over","England","Female","Not main scheme applicant","All","25"
"2019","RPA","35 and over","England","Female","Not main scheme applicant","All","10"
"2020","RPA","35 and over","England","Female","Not main scheme applicant","All","5"
"2021","RPA","35 and over","England","Female","Not main scheme applicant","All","5"
"2022","RPA","35 and over","England","Female","Not main scheme applicant","All","5"
"2023","RPA","35 and over","England","Female","Not main scheme applicant","All","20"
"2019","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","All","20"
"2020","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","All","35"
"2021","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","All","30"
"2022","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","All","40"
"2023","Main scheme firm choice","18","Northern Ireland","Female","Main scheme applicant","All","30"
"2020","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","All","5"
"2023","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","All","5"
"2019","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","All","10"
"2020","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","All","10"
"2021","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","All","5"
"2022","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","All","15"
"2023","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","All","5"
"2023","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","All","5"
"2023","Main scheme firm choice","20","Northern Ireland","Female","Main scheme applicant","All","5"
"2019","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","All","5"
"2020","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","All","15"
"2021","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","All","15"
"2022","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","All","5"
"2023","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","All","5"
"2019","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","All","15"
"2020","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","All","15"
"2021","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","All","15"
"2022","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","All","10"
"2023","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","All","5"
"2019","Main scheme Clearing","25 - 29","Northern Ireland","Female","Main scheme applicant","All","5"
"2019","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","All","5"
"2020","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","All","10"
"2021","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","All","20"
