"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","South West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2006","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","North East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Yorkshire and The Humber","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2009","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2014","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2020","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2021","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","South East","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2007","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2008","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2015","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","East Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","East of England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.96","5"
"2009","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","10"
"2010","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2018","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2020","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","West Midlands","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.714","0"
"2006","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","10"
"2009","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","35","1","0"
"2023","North West","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2006","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","75","70","0.935","5"
"2007","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","105","100","0.971","0"
"2008","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","145","140","0.986","5"
"2009","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","135","130","0.97","0"
"2010","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","75","75","1","0"
"2011","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","35","35","1","0"
"2012","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","75","75","1","0"
"2013","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","60","60","1","0"
"2014","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2015","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","85","85","0.988","0"
"2016","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","75","75","0.974","0"
"2017","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","80","75","0.924","0"
"2018","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","105","105","0.99","5"
"2019","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","110","0.932","5"
"2020","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","125","120","0.929","10"
"2021","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","80","75","0.9380000000000001","5"
"2022","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","110","105","0.973","10"
"2023","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","165","160","0.964","5"
"2006","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2008","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2009","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","5"
"2010","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2013","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","5"
"2014","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2017","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.8","0"
"2018","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2020","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.833","5"
"2021","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","5"
"2022","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.786","0"
"2023","London","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.886","5"
"2007","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Wales","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2006","South West","18","England","Female","Not main scheme applicant","Not main scheme application","105","105","0.991","10"
"2007","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","100","0.99","10"
"2008","South West","18","England","Female","Not main scheme applicant","Not main scheme application","110","105","0.9460000000000001","20"
"2009","South West","18","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.91","20"
"2010","South West","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","15"
"2011","South West","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9","10"
"2012","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","90","0.989","5"
"2013","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","85","0.9440000000000001","10"
"2014","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","95","0.9510000000000001","10"
"2015","South West","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.9540000000000001","15"
"2016","South West","18","England","Female","Not main scheme applicant","Not main scheme application","95","95","0.969","10"
"2017","South West","18","England","Female","Not main scheme applicant","Not main scheme application","140","130","0.928","5"
"2018","South West","18","England","Female","Not main scheme applicant","Not main scheme application","145","145","0.993","10"
"2019","South West","18","England","Female","Not main scheme applicant","Not main scheme application","190","180","0.9530000000000001","10"
"2020","South West","18","England","Female","Not main scheme applicant","Not main scheme application","265","250","0.9540000000000001","20"
"2021","South West","18","England","Female","Not main scheme applicant","Not main scheme application","155","155","0.987","10"
"2022","South West","18","England","Female","Not main scheme applicant","Not main scheme application","120","110","0.9490000000000001","10"
"2023","South West","18","England","Female","Not main scheme applicant","Not main scheme application","140","130","0.928","5"
"2006","North East","18","England","Female","Not main scheme applicant","Not main scheme application","75","70","0.96","10"
"2007","North East","18","England","Female","Not main scheme applicant","Not main scheme application","80","80","0.988","5"
"2008","North East","18","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.985","15"
"2009","North East","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.9430000000000001","15"
"2010","North East","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","10"
"2011","North East","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","5"
"2012","North East","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.974","5"
"2013","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","5"
"2014","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","5"
"2015","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","1","10"
"2016","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","5"
"2017","North East","18","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.929","5"
"2018","North East","18","England","Female","Not main scheme applicant","Not main scheme application","155","150","0.968","0"
"2019","North East","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.962","5"
"2020","North East","18","England","Female","Not main scheme applicant","Not main scheme application","145","140","0.979","5"
"2021","North East","18","England","Female","Not main scheme applicant","Not main scheme application","120","115","0.983","0"
"2022","North East","18","England","Female","Not main scheme applicant","Not main scheme application","150","145","0.96","5"
"2023","North East","18","England","Female","Not main scheme applicant","Not main scheme application","140","130","0.9500000000000001","5"
"2006","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","130","1","5"
"2007","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","145","140","0.972","10"
"2008","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","130","1","25"
"2009","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","95","90","0.9480000000000001","25"
"2010","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2011","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.923","10"
"2012","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","85","80","0.9530000000000001","10"
"2013","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","100","100","0.99","10"
"2014","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","120","110","0.9490000000000001","10"
"2015","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","115","115","1","10"
"2016","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","105","100","0.9430000000000001","10"
"2017","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","135","130","0.9490000000000001","15"
"2018","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","205","195","0.9460000000000001","10"
"2019","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","260","250","0.966","10"
"2020","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","295","290","0.976","15"
"2021","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","215","205","0.962","15"
"2022","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","170","165","0.9530000000000001","15"
"2023","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","190","175","0.921","15"
"2006","South East","18","England","Female","Not main scheme applicant","Not main scheme application","160","155","0.963","20"
"2007","South East","18","England","Female","Not main scheme applicant","Not main scheme application","140","140","0.979","10"
"2008","South East","18","England","Female","Not main scheme applicant","Not main scheme application","150","145","0.966","20"
"2009","South East","18","England","Female","Not main scheme applicant","Not main scheme application","135","125","0.912","30"
"2010","South East","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.962","10"
"2011","South East","18","England","Female","Not main scheme applicant","Not main scheme application","85","80","0.919","20"
"2012","South East","18","England","Female","Not main scheme applicant","Not main scheme application","135","130","0.964","15"
"2013","South East","18","England","Female","Not main scheme applicant","Not main scheme application","205","195","0.9510000000000001","25"
"2014","South East","18","England","Female","Not main scheme applicant","Not main scheme application","150","140","0.9400000000000001","20"
"2015","South East","18","England","Female","Not main scheme applicant","Not main scheme application","170","160","0.9470000000000001","15"
"2016","South East","18","England","Female","Not main scheme applicant","Not main scheme application","195","185","0.9530000000000001","15"
"2017","South East","18","England","Female","Not main scheme applicant","Not main scheme application","260","245","0.931","25"
"2018","South East","18","England","Female","Not main scheme applicant","Not main scheme application","285","265","0.937","15"
"2019","South East","18","England","Female","Not main scheme applicant","Not main scheme application","305","285","0.9440000000000001","15"
"2020","South East","18","England","Female","Not main scheme applicant","Not main scheme application","495","465","0.935","35"
"2021","South East","18","England","Female","Not main scheme applicant","Not main scheme application","280","265","0.9430000000000001","10"
"2022","South East","18","England","Female","Not main scheme applicant","Not main scheme application","265","245","0.936","15"
"2023","South East","18","England","Female","Not main scheme applicant","Not main scheme application","280","250","0.906","15"
"2006","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","5"
"2007","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","90","90","1","15"
"2008","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","85","85","0.976","15"
"2009","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","70","0.9580000000000001","15"
"2010","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","15"
"2011","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.897","15"
"2012","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.968","5"
"2013","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","75","70","0.896","10"
"2014","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","75","75","1","10"
"2015","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","105","95","0.932","5"
"2016","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","115","105","0.9380000000000001","5"
"2017","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.932","10"
"2018","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","150","145","0.9530000000000001","5"
"2019","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","145","140","0.9590000000000001","10"
"2020","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","260","250","0.965","15"
"2021","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","175","170","0.972","10"
"2022","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","180","170","0.928","10"
"2023","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","205","195","0.9510000000000001","5"
"2006","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","90","85","0.978","15"
"2007","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","110","110","1","15"
"2008","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","105","105","0.981","15"
"2009","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","120","115","0.9590000000000001","25"
"2010","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","15"
"2011","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.9380000000000001","20"
"2012","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","120","115","0.975","10"
"2013","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","130","130","0.97","10"
"2014","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","140","130","0.928","15"
"2015","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.9540000000000001","15"
"2016","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","135","125","0.9550000000000001","5"
"2017","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","210","200","0.962","10"
"2018","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","155","145","0.935","5"
"2019","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","195","185","0.964","10"
"2020","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","315","300","0.9430000000000001","20"
"2021","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","185","175","0.935","10"
"2022","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","195","180","0.933","10"
"2023","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","185","175","0.9510000000000001","10"
"2006","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","115","110","0.9560000000000001","5"
"2007","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","155","155","0.987","5"
"2008","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","195","190","0.974","25"
"2009","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","145","140","0.972","25"
"2010","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","80","75","0.914","20"
"2011","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","70","0.986","20"
"2012","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.9470000000000001","15"
"2013","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","170","165","0.9480000000000001","10"
"2014","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","150","140","0.921","10"
"2015","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","165","160","0.9580000000000001","10"
"2016","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","160","155","0.968","15"
"2017","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","205","190","0.918","15"
"2018","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","265","260","0.974","10"
