Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
BUSINESS               ,A,2023,15869,12.1,18.3,18.6,17.6,17,9.2,4.9,2.4
BUSINESS               ,G,2023,3632,4.8,15.6,23.1,22.7,20,7.9,4.5,1.3
ECONOMICS              ,A,2023,4510,13.9,22.5,21.5,17.4,13.5,7.5,3.1,0.7
ECONOMICS              ,G,2023,577,2.9,21.5,26,22.2,14.4,7.8,3.8,1.4
SWEDISH                ,A,2023,13,0,46.2,23.1,7.7,15.4,0,7.7,0
JAPANESE               ,A,2023,256,29.3,16,18,14.5,11.7,6.6,2.3,1.6
JAPANESE               ,G,2023,56,1.8,1.8,26.8,23.2,17.9,16.1,7.1,5.4
ARABIC                 ,A,2023,229,16.2,9.6,14,17,20.1,11.8,5.2,6.1
ARABIC                 ,G,2023,22,9.1,13.6,22.7,9.1,9.1,13.6,13.6,9.1
TECHNOLOGY             ,A,2023,2127,16.1,23.9,22.8,18.9,10.6,4.7,2,1.1
TECHNOLOGY             ,G,2023,140,2.9,17.1,24.3,13.6,20.7,15.7,2.1,3.6
MUSIC                  ,A,2023,5869,22.5,43,23.4,8,2.3,0.6,0.1,0
MUSIC                  ,G,2023,416,8.2,28.6,36.1,16.8,4.8,3.1,1.9,0.5
HOME ECONOMICS S & S   ,A,2023,9105,15.3,23.8,23.3,19.3,11.9,4.8,1.6,0.2
HOME ECONOMICS S & S   ,G,2023,2227,7,22.9,27.5,21.6,11.8,5.8,2.7,0.7
RUSSIAN                ,A,2023,505,82.8,11.9,2,1.4,1.2,0.8,0,0
RUSSIAN                ,G,2023,16,56.3,25,12.5,6.3,0,0,0,0
COMPUTER SCIENCE       ,A,2023,1986,24.6,22.3,18.9,15.8,10.2,5.2,2.1,1
COMPUTER SCIENCE       ,G,2023,230,11.7,20.4,22.6,18.7,13,7.8,3,2.6
RELIGIOUS EDUCATION    ,A,2023,918,10.3,29.8,27.6,17.6,8.6,4.1,1.3,0.5
RELIGIOUS EDUCATION    ,G,2023,95,1.1,6.3,6.3,16.8,31.6,17.9,7.4,12.6
PHYSICAL EDUCATION     ,A,2023,6508,8.6,26.3,27.3,20.4,11.2,4.1,1.4,0.6
PHYSICAL EDUCATION     ,G,2023,647,1.4,10.5,26,23.6,15.9,8.8,8.3,5.4
CZECH                  ,A,2023,15,46.7,13.3,13.3,0,0,13.3,0,13.3
POLISH                 ,A,2023,916,49,31.2,11.5,4.3,1.7,0.8,1.2,0.3
POLISH                 ,G,2023,40,32.5,22.5,20,7.5,7.5,7.5,2.5,0
LATVIAN                ,A,2023,59,3.4,8.5,15.3,27.1,15.3,8.5,5.1,16.9
LITHUANIAN             ,A,2023,193,60.1,24.4,7.8,2.1,4.1,0.5,1,0
LITHUANIAN             ,G,2023,17,52.9,5.9,17.6,5.9,5.9,5.9,5.9,0
HUNGARIAN              ,A,2023,51,23.5,23.5,13.7,17.6,5.9,3.9,5.9,5.9
ROMANIAN               ,A,2023,367,25.1,18.8,25.6,20.4,6.5,1.4,0,2.2
SLOVAKIAN              ,A,2023,20,35,15,15,10,20,0,5,0
BULGARIAN              ,A,2023,27,3.7,44.4,33.3,11.1,3.7,0,0,3.7
DESIGN & COMMUNICATION ,A,2023,5234,18.5,22.7,21.7,18.3,11.5,4.6,2,0.6
DESIGN & COMMUNICATION ,G,2023,794,11,24.4,23.4,17,9.3,6,5.3,3.5
MANDARIN CHINESE       ,A,2023,335,91.9,4.5,1.5,0.6,0.3,1.2,0,0
CROATIAN               ,A,2023,95,27.4,29.5,16.8,14.7,8.4,2.1,0,1.1
POLITICS AND SOCIETY   ,A,2023,2151,17.4,28.6,24.7,14.7,8.7,4.1,1.2,0.6
POLITICS AND SOCIETY   ,G,2023,353,3.7,17.6,32.3,22.1,14.7,5.9,2.8,0.8
,,,,,,,,,,,
IRISH,A,2022,24441,12.7,21,23.8,21.9,14.4,5.2,0.9,0.2
IRISH,B,2022,1933,3.4,13,22.6,24.9,17,11.9,5.5,1.7
IRISH,G,2022,23520,1,10.6,26.3,28.9,19.3,8.7,3.4,1.9
ENGLISH,A,2022,43757,7.2,17.4,28.8,27.2,14.6,3.9,0.7,0.2
ENGLISH,G,2022,13484,4.7,16,28.7,27.1,16,5.1,1.4,1
MATHEMATICS,A,2022,21265,18.1,19.2,22.6,20.7,12.9,4.8,1.3,0.3
MATHEMATICS,B,2022,3290,15,20.6,20.8,17.2,13.3,7.7,4,1.4
MATHEMATICS,G,2022,32792,6,19.1,25,21.2,14.7,8.2,4,1.9
HISTORY,A,2022,9432,17.3,23,22.2,16.9,11.4,6.2,2.3,0.7
